Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,
Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,
Hypoglycemia, Fatigue, Anxiety, Sweating, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Anxiety, Sweating, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Fatigue, Sweating, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Fatigue, Anxiety, Headache, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating, Nausea, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating, Headache, Blurred And Distorted Vision, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating, Headache, Nausea, Excessive Hunger, Drying And Tingling Lips, Slurred Speech, Irritability, Palpitations,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,
Osteoarthristis, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Swelling Joints, Painful Walking,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Painful Walking,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints,,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,
Osteoarthristis, Joint Pain, Neck Pain, Knee Pain, Hip Joint Pain, Swelling Joints, Painful Walking,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,
Arthritis, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,,
Arthritis, Muscle Weakness, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Movement Stiffness, Painful Walking,,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Painful Walking,,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness,,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,
Arthritis, Muscle Weakness, Stiff Neck, Swelling Joints, Movement Stiffness, Painful Walking,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Headache, Nausea, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Nausea, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss Of Balance, Unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning Movements, Unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning Movements, Loss Of Balance,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning Movements, Loss Of Balance, Unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss Of Balance, Unsteadiness,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Blackheads, Scurring,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Blackheads, Scurring,,,,,,,,,,,,,
Acne, Pus Filled Pimples, Blackheads, Scurring,,,,,,,,,,,,,,
Acne, Skin Rash, Blackheads, Scurring,,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Scurring,,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Blackheads,,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Blackheads, Scurring,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Blackheads,,,,,,,,,,,,,,
Acne, Skin Rash, Pus Filled Pimples, Scurring,,,,,,,,,,,,,,
Acne, Skin Rash, Blackheads, Scurring,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,
Urinary tract infection, Bladder Discomfort, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Continuous Feel Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Foul Smell Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Continuous Feel Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Bladder Discomfort, Foul Smell Of Urine, Continuous Feel Of Urine,,,,,,,,,,,,,,
Urinary tract infection, Burning Micturition, Bladder Discomfort, Continuous Feel Of Urine,,,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,
Psoriasis, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Inflammatory Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails,,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,
Psoriasis, Skin Rash, Joint Pain, Skin Peeling, Silver Like Dusting, Small Dents In Nails, Inflammatory Nails,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,
Impetigo, High Fever, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,,
Impetigo, Skin Rash, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,,
Impetigo, Skin Rash, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Blister, Yellow Crust Ooze,,,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Blister, Red Sore Around Nose,,,,,,,,,,,,,
Impetigo, Skin Rash, High Fever, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,
Impetigo, Skin Rash, Blister, Red Sore Around Nose, Yellow Crust Ooze,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,
Fungal infection, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions,,,,,,,,,,,,,,
Fungal infection, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,
Allergy, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills,,,,,,,,,,,,,,
Allergy, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,
GERD, Stomach Pain, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Cough,,,,,,,,,,,,
GERD, Acidity, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Cough, Chest Pain,,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Chronic cholestasis, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,
Drug Reaction,Itching, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition,,,,,,,,,,,,,
Drug Reaction, Skin Rash, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition,,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever,,,,,,,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,
Diabetes , Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Increased Appetite, Polyuria,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,
Bronchial Asthma, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,
Bronchial Asthma, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,
Hypertension , Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,
Hypertension , Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,
Migraine, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Altered Sensorium,,,,,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,
Jaundice, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,
Malaria, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Diarrhoea, Muscle Pain,,,,,,,,,,
